,web_url,pub_date,document_type,news_desk,section_name,type_of_material,main_headline,print_headline,by
24,https://www.nytimes.com/2020/01/01/magazine/poem-the-far-norway-maples.html,2020-01-01T10:00:08+0000,article,Magazine,Magazine,News,Poem: The Far Norway Maples,,Arthur Sze and Naomi Shihab Nye
25,https://www.nytimes.com/2020/01/01/well/new-years-resolution-be-more-honest.html,2020-01-01T10:00:08+0000,article,Well,Well,News,New Year’s Resolution: Be More Honest,,Judi Ketteler
26,https://www.nytimes.com/2020/01/01/well/move/exercise-physical-activity-workout-time.html,2020-01-01T10:00:13+0000,article,Well,Well,News,No More Excuses Not to Exercise,"Drop the Phone, Grab the Bike",Gretchen Reynolds
27,https://www.nytimes.com/2020/01/01/travel/antarctica-cruises.html,2020-01-01T10:00:15+0000,article,Travel,Travel,News,New Cruise Ships to Set Sail for Antarctica,Set Sail for Antarctica,Nora Walsh
28,https://www.nytimes.com/2020/01/01/technology/personaltech/tech-trends-2020.html,2020-01-01T10:00:16+0000,article,Business,Technology,News,The Tech That Will Invade Our Lives in 2020,Getting Siri And Alexa To Cooperate,Brian X. Chen
29,https://www.nytimes.com/2020/01/01/nyregion/igloos-nyc-bars-hotels.html,2020-01-01T10:00:17+0000,article,Metropolitan,New York,News,Inside the Fake Igloo Rooftop Wars,Now We Really Do Exist in Our Own Bubbles,Alyson Krueger
30,https://www.nytimes.com/2020/01/01/movies/adam-driver-marriage-story.html,2020-01-01T10:00:19+0000,article,Arts&Leisure,Movies,News,Adam Driver Has Put Everything He’s Got Onscreen,He Can’t Look Back,Kyle Buchanan
31,https://www.nytimes.com/2020/01/01/arts/dance/costumes-couturiers-de-la-danse.html,2020-01-01T10:00:21+0000,article,Arts&Leisure,Arts,News,Couture Creations for Dancing Bodies,Couture for Bodies In Motion,Roslyn Sulcas
32,https://www.nytimes.com/2020/01/01/us/100-years-ago-the-booziest-january-suddenly-dried-up.html,2020-01-01T10:00:22+0000,article,Photo,U.S.,News,"100 Years Ago, the Booziest January Suddenly Dried Up","A Splashy Start to Prohibition, 100 Not-So-Dry Januaries Ago",Jennifer Harlan
33,https://www.nytimes.com/2020/01/01/us/politics/elizabeth-warren-medicare-for-all.html,2020-01-01T10:00:22+0000,article,Politics,U.S.,News,Elizabeth Warren Isn’t Talking Much About ‘Medicare for All’ Anymore,Warren Keeps Medicare Plan At a Distance,Astead W. Herndon
34,https://www.nytimes.com/slideshow/2020/01/01/realestate/living-in-bedminster-nj.html,2020-01-01T10:00:22+0000,multimedia,Real Estate,Real Estate,Slideshow,"Living In ... Bedminster, N.J.",,
35,https://www.nytimes.com/2020/01/01/us/university-of-wisconsin-race-video.html,2020-01-01T10:00:25+0000,article,National,U.S.,News,"In a Homecoming Video Meant to Unite Campus, Almost Everyone Was White","A Racial Divide on Campus, Visible in an Instant",
36,https://www.nytimes.com/2020/01/01/realestate/bedminster-nj-horses-golf-and-presidential-visits.html,2020-01-01T10:01:24+0000,article,RealEstate,Real Estate,News,"Bedminster, N.J.: Horses, Golf and Presidential Visits",Horses and Historic Sites Abound in This Town,Jill P. Capuzzo
37,https://www.nytimes.com/2020/01/01/business/economy/china-economy-reserve-requirement-ratio.html,2020-01-01T10:12:44+0000,article,Business,Business Day,News,China Moves to Steady Its Slowing Economic Growth,China Injects $115 Billion To Stabilize Its Economy,Carlos Tejada and Ben Casselman
38,https://www.nytimes.com/2020/01/01/us/politics/pete-buttigieg-fundraising.html,2020-01-01T10:53:14+0000,article,Politics,U.S.,News,Pete Buttigieg’s Campaign Says It Raised $24.7 Million in the Fourth Quarter,Buttigieg Shows Fund-Raising Strength With a $24.7 Million Quarter,Thomas Kaplan
39,https://www.nytimes.com/2020/01/01/business/rifle-paper-co.html,2020-01-01T13:00:09+0000,article,SundayBusiness,Business Day,News,"The Work Diary of Anna Bond, Whose Work Includes … Making Diaries",She Hopes You Buy a Planner. A Paper One.,Katherine Rosman
40,https://www.nytimes.com/2020/01/01/world/canada/pokemon-go-canada-military.html,2020-01-01T13:12:46+0000,article,Express,World,News,Pika-Who? How Pokémon Go Confused the Canadian Military,Pika-Who? How Canada’s Military Reacted to a Pokémon Go Invasion,Mariel Padilla
41,https://www.nytimes.com/2020/01/01/world/asia/north-korea-kim-trump.html,2020-01-01T13:22:12+0000,article,Foreign,World,News,What Kim Jong-un’s Latest Threats Say About His Trump Strategy,Kim’s Saber-Rattling Stops Short of Scuttling Possibility of a Deal With Trump,Choe Sang-Hun
42,https://www.nytimes.com/2020/01/01/world/americas/mexico-prison-fight.html,2020-01-01T13:50:02+0000,article,Foreign,World,News,Mexico Prison Fight Leaves at Least 16 Inmates Dead,3-Hour Fight In Mexican Jail Leaves 16 Dead,Elian Peltier
43,https://www.nytimes.com/slideshow/2020/01/01/realestate/what-you-get-for-750000.html,2020-01-01T14:00:23+0000,multimedia,Real Estate,Real Estate,Slideshow,"What You Get for $750,000",,
44,https://www.nytimes.com/2020/01/01/realestate/750000-homes-in-mississippi-missouri-and-arizona.html,2020-01-01T14:01:26+0000,article,RealEstate,Real Estate,News,"$750,000 Homes in Mississippi, Missouri and Arizona",,Julie Lasky
45,https://www.nytimes.com/2020/01/01/world/middleeast/israel-netanyahu-immunity.html,2020-01-01T14:08:31+0000,article,Foreign,World,News,Netanyahu Seeks Immunity From Israeli Corruption Charges,Netanyahu Seeks Temporary Immunity From Corruption Charges,Isabel Kershner
46,https://www.nytimes.com/slideshow/2020/01/01/realestate/restored-19th-century-elegance-in-northwestern-spain.html,2020-01-01T14:30:20+0000,multimedia,Real Estate,Real Estate,Slideshow,Restored 19th-Century Elegance in Northwestern Spain,,
47,https://www.nytimes.com/2020/01/01/realestate/house-hunting-in-spain-a-historic-estate-for-under-2-million.html,2020-01-01T14:31:23+0000,article,RealEstate,Real Estate,News,House Hunting in Spain: A Historic Estate For Under $2 Million,Gaze Upon a Lush Valley From a 19th-Century Villa,Alison Gregor
48,https://www.nytimes.com/2020/01/01/world/europe/pope-francis-slap-video.html,2020-01-01T14:42:43+0000,article,Foreign,World,News,Pope Francis Apologizes After Slapping Away a Clinging Pilgrim,Pope Says He Is Sorry Over Slap On Hands,Jason Horowitz
49,https://www.nytimes.com/2020/01/01/sports/basketball/fearless-predictions-for-the-nba-in-2020.html,2020-01-01T15:00:03+0000,article,Sports,Sports,News,Fearless Predictions for the N.B.A. in 2020,"Zion, Kawhi, Pop and the Olympics: Here’s 2020 in Review",Marc Stein
50,https://www.nytimes.com/2020/01/01/movies/tracy-letts-ford-v-ferrari.html,2020-01-01T15:00:07+0000,article,Arts&Leisure,Movies,News,One Startling Scene: Tracy Letts in ‘Ford v Ferrari’,About That Crying Jag in a Ford,Kathryn Shattuck
51,https://www.nytimes.com/2020/01/01/theater/simon-stone-medea-bam.html,2020-01-01T15:00:09+0000,article,Arts&Leisure,Theater,News,Simon Stone Faced the Unthinkable. He Thinks You Should Too.,Facing the Unthinkable,Alexis Soloski
52,https://www.nytimes.com/2020/01/01/movies/us-jordan-peele-shirts.html,2020-01-01T15:00:09+0000,article,Weekend,Movies,News,Reading ‘Us’ Through Its T-shirts,Reading ‘Us’ Through Its Expressive T-Shirts,Mekado Murphy
53,https://www.nytimes.com/2020/01/01/dining/new-year-new-recipes.html,2020-01-01T15:30:00+0000,article,Dining,Food,News,"New Year, New Recipes",,Sam Sifton
54,https://www.nytimes.com/2020/01/01/us/stories-about-equality-that-gave-us-hope-in-2019.html,2020-01-01T15:37:02+0000,article,National,U.S.,News,Stories About Equality that Gave Us Hope in 2019,,Adeel Hassan
55,https://www.nytimes.com/2020/01/01/movies/a-quiet-place-part-ii-trailer.html,2020-01-01T15:53:19+0000,article,Culture,Movies,News,‘A Quiet Place Part II’ First Trailer: Why Is It So Noisy?,,Bruce Fretts
56,https://www.nytimes.com/2020/01/01/opinion/north-korea-nuclear-test.html,2020-01-01T16:00:09+0000,article,OpEd,Opinion,Op-Ed,North Korea Is Not Done Trolling Trump,,Nicholas Eberstadt
57,https://www.nytimes.com/2020/01/01/world/europe/zoo-fire-krefeld-germany.html,2020-01-01T16:40:31+0000,article,Express,World,News,"Flying Lanterns Probably Caused Zoo Fire in Germany, Police Say",Animals Perish In Fire at Home For Monkeys At German Zoo,Jacey Fortin
58,https://www.nytimes.com/2020/01/01/opinion/letters/women-athletes.html,2020-01-01T17:00:04+0000,article,Letters,Opinion,Letter,"Coaching Female Athletes, and Gender Inequality","Coaching Female Athletes, and Gender Inequality",
59,https://www.nytimes.com/2020/01/01/style/self-care/how-to-stop-blushing.html,2020-01-01T17:00:05+0000,article,Styles,Style,News,There Will Be Blood. And It Will Be in Your Face.,There Will Be Blood. And It Will Be in Your Cheeks.,Lindsay Mannering
60,https://www.nytimes.com/2020/01/01/opinion/letters/canners-recyclables.html,2020-01-01T17:00:07+0000,article,Letters,Opinion,Letter,Can Collectors: Nuisance or Public Service?,Can Collectors: Nuisance or Public Service?,
61,https://www.nytimes.com/2020/01/01/movies/2020-golden-globes-predictions.html,2020-01-01T17:16:35+0000,article,Culture,Movies,News,2020 Golden Globes Predictions: Which Movies Will Win?,A Crystal Ball For an Event Prone to Jolts,Kyle Buchanan
62,https://www.nytimes.com/2020/01/01/parenting/money-rage-and-love.html,2020-01-01T17:20:06+0000,article,Parenting,Parenting,News,"Money, Rage and Love",,Jessica Grose
63,https://www.nytimes.com/2020/01/01/opinion/letters/united-states-elections.html,2020-01-01T17:30:03+0000,article,Letters,Opinion,Letter,Rethinking How We Choose Candidates,Rethinking How We Choose Candidates,
64,https://www.nytimes.com/2020/01/01/business/zero-waste-restaurants.html,2020-01-01T17:46:22+0000,article,Business,Business Day,News,A Restaurant With No Leftovers,A Restaurant With No Leftovers,Matthew Sedacca
65,https://www.nytimes.com/2020/01/01/health/breast-cancer-mammogram-artificial-intelligence.html,2020-01-01T18:00:07+0000,article,Science,Health,News,A.I. Is Learning to Read Mammograms,Artificial Intelligence Is Outperforming Radiologists in Detecting Breast Cancer,Denise Grady
66,https://www.nytimes.com/2020/01/01/health/tuberculosis-vaccine.html,2020-01-01T18:00:08+0000,article,Science,Health,News,New Injection Method Makes an Old TB Vaccine Far More Powerful,New Technique Makes Old Vaccine for Tuberculosis Far More Effective,Donald G. McNeil Jr
